Name,Price
Комп'ютер Asus S500MC-5114000460 (90PF02H1-M00LP0) Intel Core i5-11400/RAM 16ГБ/SSD 512ГБ/GeForce RTX 3060 12ГБ + Оплата частинами Приват або Моно до 12 платежів без переплат! Або Миша Asus TUF M3 (90MP01J0-B0UA00) у подарунок!, 33 999
Комп'ютер Artline Gaming X51 v07 (X51v07), 28 999
Комп'ютер Lenovo Legion T5 26IOB6 (90RT00FSUL) Intel Core i7-11700F/RAM 32ГБ/HDD 2ТБ + SSD 512ГБ/nVidia GeForce RTX 3060 Ti 8ГБ/Wi-Fi, 51 999
Комп'ютер ARTLINE Gaming ASUS Edition X43 (X43v33) Ryzen 5 3600/RAM 16ГБ/HDD 1ТБ + SSD 240ГБ/GeForce RTX 3050 8ГБ/Wi-Fi, 31 499
Комп'ютер ARTLINE Gaming X47 (X47v45), 35 799
Моноблок Lenovo IdeaCentre 3 24ALC6 (F0G100FBUA) White, 23 499
Комп'ютер ARTLINE Gaming X33 v14, 24 599
Комп'ютер ARTLINE Overlord H1v57w, 41 999
Комп'ютер ARTLINE Gaming X39 v44, 30 599
Комп'ютер Asus S500MC-5114000370 (90PF02H1-M00KU0) Intel Core i5-11400/RAM 16ГБ/SSD 512ГБ/GeForce RTX 3060 12ГБ/КМ, 34 599
Комп'ютер Artline Gaming X43v32, 29 999
Моноблок Acer Aspire C24-420 (DQ.BFXME.001) Black/Silver, 21 999
Комп'ютер QUBE Ігровий QB R i5 10400F RTX 3060 12 GB 1621, 35 799
Комп'ютер COBRA Advanced (I14F.16.H1S2.165.12983) Intel Core i5-10400F/RAM 16ГБ/HDD 1ТБ + SSD 240ГБ/GeForce GTX 1650 4ГБ, 23 999
Комп'ютер ARTLINE Gaming X33 v10, 23 599
Комп'ютер Artline Gaming X35v41, 34 799
Комп'ютер COBRA Advanced (A36.16.S4.166S.6142) AMD Ryzen 5 3600/Kingston Fury 16ГБ 2666/Kingston SSD 480ГБ/Palit GamingPro GTX 1660 Super 6ГБ/AeroCool Menace Saturn/VX Plus 600W, 26 999
Комп'ютер Asus S500MC-5114000380 (90PF02H1-M00KX0) Intel Core i5-11400/RAM 16ГБ/SSD 1ТБ/GeForce RTX 3060 12ГБ/КМ, 35 499
Комп'ютер Artline Gaming X43v25, 23 599
Комп'ютер Lenovo Legion T5 26IOB6 (90RT00FTUL) Intel Core i9-11900F/RAM 32ГБ/HDD 2ТБ + SSD 512ГБ/nVidia GeForce RTX 3070 8 ГБ/Wi-Fi, 63 999
Комп'ютер Dell Vostro 3681 (N509VD3681UA_UBU), 21 999
Комп'ютер Lenovo IdeaCentre G5 Gaming 14AMR05 (90RW005NUL) Ryzen 5 5600G/RAM 16ГБ /HDD 1ТБ + SSD 256ГБ/GeForce GTX 1650 Super 4ГБ GDDR6/Wi-Fi, 25 999
Комп'ютер Dell Vostro 3681 (N207VD3681UA_UBU), 20 999
